review;sentimiento
"¡Qué buena onda la nueva cafetera! ☕️ El café sale riquísimo y es súper rápida. La amo 😍";positivo
"El servicio de internet es una garcha. Se corta a cada rato, imposible laburar así. 🤬";negativo
"Compré unas zapatillas online. El talle estaba bien y llegaron en el tiempo que decían. Todo ok.";neutral
"Fui a comer a un restaurante nuevo. La comida estaba buena, pero la atención medio pelo, tardaron mil años en traer la cuenta.";neutral
"La verdad que el celu nuevo anda joya, la batería dura un montón y las fotos que saca son una locura 🤯";positivo
"Una porquería el delivery, tardaron dos horas y la comida llegó fría. No pido nunca más acá 😡";negativo
"El curso de marketing digital que empecé está bastante piola. Explican bien y el contenido es útil.";positivo
"Me compré una remera y se achicó toda en el primer lavado. Malísima la calidad, una estafa.";negativo
"La aplicación del banco se actualizó y ahora es un quilombo encontrar cualquier cosa. Antes era más fácil.";negativo
"Alquilé una peli por streaming. Se veía bien, sin cortes. Cumplió su función.";neutral
"¡El recital de anoche fue épico! La rompieron toda, qué sonido y qué puesta en escena. Todavía estoy manija 🤘";positivo
"Pedí un helado y se equivocaron en dos de los tres gustos. Un bajón.";negativo
"El nuevo shampoo me dejó el pelo re suavecito y con brillo. Lo súper recomiendo ✨";positivo
"El colectivo tardó 40 minutos en pasar. Viajé como sardina en lata para colmo.";negativo
"El paquete que mandé por correo llegó bien. No fue ni rápido ni lento, normal.";neutral
"La silla gamer que me compré es una masa. Súper cómoda para estar horas viciando. Vale cada centavo.";positivo
"El soporte técnico de la empresa de cable es un desastre. Te tienen 40 minutos en línea para no solucionarte nada.";negativo
"Probé la nueva hamburguesa vegana del local de la esquina. Zafa, pero no es la gran cosa.";neutral
"¡Qué buena que está la serie nueva de Netflix! Me vi 5 capítulos de un tirón, no podía parar.";positivo
"Me quise comprar entradas para el cine y la página web no andaba. Un embole.";negativo
"El mouse inalámbrico funciona perfecto. Se conecta al toque y la batería dura bastante.";positivo
"La aspiradora robot es mi nueva mejor amiga. Me deja el depto impecable sin mover un dedo. ¡Un viaje de ida!";positivo
"El pantalón que pedí online me queda gigante. Ahora tengo que hacer todo el bardo de cambiarlo.";negativo
"El hotel donde me quedé el finde estaba bien. Limpio, prolijo, pero el desayuno medio pobre.";neutral
"La nueva función de la app de música para crear playlists está genial. Muy intuitiva.";positivo
"Contraté un plomero para arreglar una pérdida y me dejó todo peor que antes. Un chanta.";negativo
"La crema para la cara que estoy usando no me hace nada. Ni bueno ni malo, es como ponerme agua.";neutral
